,URLS
205,https://olympics.com/en/olympic-games/turin-2006/results/luge
206,https://olympics.com/en/olympic-games/turin-2006/results/nordic-combined
207,https://olympics.com/en/olympic-games/turin-2006/results/short-track-speed-skating
208,https://olympics.com/en/olympic-games/turin-2006/results/skeleton
209,https://olympics.com/en/olympic-games/turin-2006/results/ski-jumping
210,https://olympics.com/en/olympic-games/turin-2006/results/snowboard
211,https://olympics.com/en/olympic-games/turin-2006/results/speed-skating
212,https://olympics.com/en/olympic-games/athens-2004/results/archery
213,https://olympics.com/en/olympic-games/athens-2004/results/athletics
214,https://olympics.com/en/olympic-games/athens-2004/results/badminton
215,https://olympics.com/en/olympic-games/athens-2004/results/basketball
216,https://olympics.com/en/olympic-games/athens-2004/results/beach-volleyball
217,https://olympics.com/en/olympic-games/athens-2004/results/boxing
218,https://olympics.com/en/olympic-games/athens-2004/results/canoe-slalom
219,https://olympics.com/en/olympic-games/athens-2004/results/cycling-mountain-bike
220,https://olympics.com/en/olympic-games/athens-2004/results/cycling-road
221,https://olympics.com/en/olympic-games/athens-2004/results/cycling-track
222,https://olympics.com/en/olympic-games/athens-2004/results/diving
223,https://olympics.com/en/olympic-games/athens-2004/results/fencing
224,https://olympics.com/en/olympic-games/athens-2004/results/football
225,https://olympics.com/en/olympic-games/athens-2004/results/handball
226,https://olympics.com/en/olympic-games/athens-2004/results/hockey
227,https://olympics.com/en/olympic-games/athens-2004/results/judo
228,https://olympics.com/en/olympic-games/athens-2004/results/modern-pentathlon
229,https://olympics.com/en/olympic-games/athens-2004/results/rowing
230,https://olympics.com/en/olympic-games/athens-2004/results/sailing
231,https://olympics.com/en/olympic-games/athens-2004/results/shooting
232,https://olympics.com/en/olympic-games/athens-2004/results/swimming
233,https://olympics.com/en/olympic-games/athens-2004/results/table-tennis
234,https://olympics.com/en/olympic-games/athens-2004/results/taekwondo
235,https://olympics.com/en/olympic-games/athens-2004/results/tennis
236,https://olympics.com/en/olympic-games/athens-2004/results/trampoline
237,https://olympics.com/en/olympic-games/athens-2004/results/triathlon
238,https://olympics.com/en/olympic-games/athens-2004/results/volleyball
239,https://olympics.com/en/olympic-games/athens-2004/results/water-polo
240,https://olympics.com/en/olympic-games/athens-2004/results/weightlifting
241,https://olympics.com/en/olympic-games/athens-2004/results/wrestling
242,https://olympics.com/en/olympic-games/salt-lake-city-2002/results/alpine-skiing
243,https://olympics.com/en/olympic-games/salt-lake-city-2002/results/biathlon
244,https://olympics.com/en/olympic-games/salt-lake-city-2002/results/bobsleigh
245,https://olympics.com/en/olympic-games/salt-lake-city-2002/results/cross-country-skiing
246,https://olympics.com/en/olympic-games/salt-lake-city-2002/results/curling
247,https://olympics.com/en/olympic-games/salt-lake-city-2002/results/figure-skating
248,https://olympics.com/en/olympic-games/salt-lake-city-2002/results/freestyle-skiing
249,https://olympics.com/en/olympic-games/salt-lake-city-2002/results/ice-hockey
250,https://olympics.com/en/olympic-games/salt-lake-city-2002/results/luge
251,https://olympics.com/en/olympic-games/salt-lake-city-2002/results/nordic-combined
252,https://olympics.com/en/olympic-games/salt-lake-city-2002/results/short-track-speed-skating
253,https://olympics.com/en/olympic-games/salt-lake-city-2002/results/skeleton
254,https://olympics.com/en/olympic-games/salt-lake-city-2002/results/ski-jumping
255,https://olympics.com/en/olympic-games/salt-lake-city-2002/results/snowboard
